contact info,Display name,documents serial,long bio,personality serial,short bio,Sorting name,title
,Josephie Aculiak,,,P10000,,"Aculiak, Josephie",Josephie Aculiak
,Jim Adams,,,P10001,,"Adams, Jim",Jim Adams
,Tye Adla,,,P10002,,"Adla, Tye",Tye Adla
,Ferdous Ahkter,,,P10003,,"Ahkter, Ferdous",Ferdous Ahkter
,Josef Albers,,,P10004,,"Albers, Josef",Josef Albers
,Josef Keller Albers,,,P10005,,"Albers, Josef Keller",Josef Keller Albers
,Simon Qissualu Aliqu,,,P10006,,"Aliqu, Simon Qissualu",Simon Qissualu Aliqu
,Jocelyne Alloucherie,,,P10007,,"Alloucherie, Jocelyne",Jocelyne Alloucherie
,Joseph Amar,,,P10008,,"Amar, Joseph",Joseph Amar
,Michael Amar,,,P10009,,"Amar, Michael",Michael Amar
,Davidialuk Alasua Amittu,,,P10010,,"Amittu, Davidialuk Alasua",Davidialuk Alasua Amittu
,Makusi Pangutu Anauta,,,P10011,,"Anauta, Makusi Pangutu",Makusi Pangutu Anauta
,Gordon Anderson,,,P10012,,"Anderson, Gordon",Gordon Anderson
,Stephen Andrews,,,P10013,,"Andrews, Stephen",Stephen Andrews
,Sara Angelucci,,,P10014,,"Angelucci, Sara",Sara Angelucci
,Abraham Anghik,,,P10015,,"Anghik, Abraham",Abraham Anghik
,Margaret Uyauperq Aniksak,,,P10016,,"Aniksak, Margaret Uyauperq",Margaret Uyauperq Aniksak
,Karel Appel,,,P10017,,"Appel, Karel",Karel Appel
,Kenojuak Ashevek,,,P10018,,"Ashevek, Kenojuak",Kenojuak Ashevek
,Koomwartok Ashoona (attributed to),,,P10019,,"Ashoona (attributed to), Koomwartok",Koomwartok Ashoona (attributed to)
,Kaka Ashoona,,,P10020,,"Ashoona, Kaka",Kaka Ashoona
,Koomwartok Ashoona,,,P10021,,"Ashoona, Koomwartok",Koomwartok Ashoona
,Pitseolak Ashoona,,,P10022,,"Ashoona, Pitseolak",Pitseolak Ashoona
,Sorosiluto Ashoona,,,P10023,,"Ashoona, Sorosiluto",Sorosiluto Ashoona
,Tumira Ashoona,,,P10024,,"Ashoona, Tumira",Tumira Ashoona
,Attochie (attributed to),,,P10025,,Attochie (attributed to),Attochie (attributed to)
,Paulusi Passau Aupalu,,,P10026,,"Aupalu, Paulusi Passau",Paulusi Passau Aupalu
,Aupik (attributed to),,,P10027,,Aupik (attributed to),Aupik (attributed to)
,Milton Avery,,,P10028,,"Avery, Milton",Milton Avery
,Eleni H. Bakopoulos,,,P10029,,"Bakopoulos, Eleni H.",Eleni H. Bakopoulos
,John Balijkas,,,P10030,,"Balijkas, John",John Balijkas
,M. Jill Ballard,,,P10031,,"Ballard, M. Jill",M. Jill Ballard
,Robin Bandemer,,,P10032,,"Bandemer, Robin",Robin Bandemer
,Marcel Barbeau,,,P10033,,"Barbeau, Marcel",Marcel Barbeau
,Bill Barnie,,,P10034,,"Barnie, Bill",Bill Barnie
,Anne Meredith Barry,,,P10035,,"Barry, Anne Meredith",Anne Meredith Barry
,Ed Bartram,,,P10036,,"Bartram, Ed",Ed Bartram
,Leonard Baskin,,,P10037,,"Baskin, Leonard",Leonard Baskin
,Henry Bataille,,,P10038,,"Bataille, Henry",Henry Bataille
,Willi Baumeister,,,P10039,,"Baumeister, Willi",Willi Baumeister
,Aba Bayefsky,,,P10041,,"Bayefsky, Aba",Aba Bayefsky
Estate of Carl Beam Manitoulin Island,Carl Beam,,"Carl Beam (May 24, 1943 � July 30, 2005) was born Carl Edward Migwans at the Ojibways of West Bay Reserve (now renamed the M�Chigeeng First Nation) on Manitoulin Island, Ontario. Beam attended the Garnier Residential School from age 10 to 18. After working at several trades-based jobs, including in the construction of parts of the Toronto Subway system, Beam moved in the early 1970s to attend the Kootenay School of Art, completing his BFA at the University of Victoria in 1974. He started a graduate degree at the University of Alberta in 1975, but returned to Ontario after only a year due to a dispute over his thesis on Indigenous art.In 1980, he moved to New Mexico for three years with his second wife, Ann Beam. His time in New Mexico reinvigorating his ceramic practice. He relocated to Peterborough, Ontario, in 1984, where he lived until moving back to Manitoulin Island in 1992. When he returned to Ontario, he concentrated on paintings, prints, and assemblages. A major development in his work was the incorporation of photo-transfers and multi-layered compositions. In 1986, he became the first Indigenous artist to be collected by the National Gallery of Canada. He received the Governor General�s Award in Visual and Media Arts in 2005, the same year of his death. In 2011, the National Gallery of Canada produced a posthumous retrospective of his work that travelled across the country. ",P10042,"Carl Beam (May 24, 1943 � July 30, 2005) was born Carl Edward Migwans at the M�Chigeeng First Nation on Manitoulin Island, Ontario. He made Canadian art history as the first artist of Native Ancestry to have his work purchased by the National Gallery of Canada as Contemporary Art.","Beam, Carl",Carl Beam
,Micheline Beauchemin,,,P10043,,"Beauchemin, Micheline",Micheline Beauchemin
,Lise Beaudry,,,P10044,,"Beaudry, Lise",Lise Beaudry
,M.K.L Beery,,,P10045,,"Beery, M.K.L",M.K.L Beery
,Sylvie Belanger,,,P10046,,"Belanger, Sylvie",Sylvie Belanger
,Anthony Benjamin,,,P10047,,"Benjamin, Anthony",Anthony Benjamin
,Roloff Beny,,,P10048,,"Beny, Roloff",Roloff Beny
,Stefan Berg,,,P10049,,"Berg, Stefan",Stefan Berg
,R.J Berger,,,P10050,,"Berger, R.J",R.J Berger
,Robert Berlin,,,P10051,,"Berlin, Robert",Robert Berlin
,Michaele Berman,,,P10052,,"Berman, Michaele",Michaele Berman
,Karl Beveridge,,,P10053,,"Beveridge, Karl",Karl Beveridge
,Wojtek Biczysko,,,P10054,,"Biczysko, Wojtek",Wojtek Biczysko
,Michael T. Bidner,,,P10055,,"Bidner, Michael T.",Michael T. Bidner
,Ted Bieler,,,P10056,,"Bieler, Ted",Ted Bieler
,David Blackwood,,,P10057,,"Blackwood, David",David Blackwood
,Zbigniew Blazeje,,,P10058,,"Blazeje, Zbigniew",Zbigniew Blazeje
,Ronald Bloore,,,P10059,,"Bloore, Ronald",Ronald Bloore
,Ronald Boaks,,,P10060,,"Boaks, Ronald",Ronald Boaks
,George Boileau,,,P10061,,"Boileau, George",George Boileau
,Giles Boisvert,,,P10062,,"Boisvert, Giles",Giles Boisvert
,David Bolduc,,,P10063,,"Bolduc, David",David Bolduc
,James Bond,,,P10064,,"Bond, James",James Bond
,Richard Bonderenko,,,P10065,,"Bonderenko, Richard",Richard Bonderenko
,Linda Book,,,P10066,,"Book, Linda",Linda Book
,Jacob Boone,,,P10067,,"Boone, Jacob",Jacob Boone
,Paul-Emile Borduas,,,P10068,,"Borduas, Paul-Emile",Paul-Emile Borduas
,Diane Bos,,,P10069,,"Bos, Diane",Diane Bos
,Stanley Boxer,,,P10070,,"Boxer, Stanley",Stanley Boxer
,John Boyle,,,P10071,,"Boyle, John",John Boyle
,Claude Breeze,,,P10072,,"Breeze, Claude",Claude Breeze
,Miller Brittain,,,P10073,,"Brittain, Miller",Miller Brittain
,Christopher Broadhurst,,,P10074,,"Broadhurst, Christopher",Christopher Broadhurst
,Bertram Brooker,,,P10075,,"Brooker, Bertram",Bertram Brooker
,Yael Brotman,,,P10076,,"Brotman, Yael",Yael Brotman
,"Cornelis Brouwer (after Jan Bulthuis, after Pieter Barbiers)",,,P10077,,"Brouwer, Cornelis (after Jan Bulthuis, after Pieter Barbiers)","Cornelis Brouwer (after Jan Bulthuis, after Pieter Barbiers)"
,Donna Brunsdale,,,P10078,,"Brunsdale, Donna",Donna Brunsdale
,Alfredo Buenaventura,,,P10079,,"Buenaventura, Alfredo",Alfredo Buenaventura
,Doug Buis,,,P10080,,"Buis, Doug",Doug Buis
,Brian Burnett,,,P10081,,"Burnett, Brian",Brian Burnett
,Edward Burtynsky,,,P10082,,"Burtynsky, Edward",Edward Burtynsky
,Jack Bush,,,P10083,,"Bush, Jack",Jack Bush
,Sheila Butler,,,P10084,,"Butler, Sheila",Sheila Butler
,Peter Byrne,,,P10085,,"Byrne, Peter",Peter Byrne
,Alexander Calder,,,P10086,,"Calder, Alexander",Alexander Calder
,Piatriciu Calimente,,,P10087,,"Calimente, Piatriciu",Piatriciu Calimente
,Jacques Callot,,,P10088,,"Callot, Jacques",Jacques Callot
,Laura Calvi,,,P10089,,"Calvi, Laura",Laura Calvi
,Alex Cameron,,,P10090,,"Cameron, Alex",Alex Cameron
,Tracy Carbert,,,P10091,,"Carbert, Tracy",Tracy Carbert
,Anthony Caro,,,P10092,,"Caro, Anthony",Anthony Caro
,Marc Chagall,,,P10093,,"Chagall, Marc",Marc Chagall
,Jack Chambers,,,P10094,,"Chambers, Jack",Jack Chambers
,Harvey Chao,,,P10095,,"Chao, Harvey",Harvey Chao
,David Chavel,,,P10096,,"Chavel, David",David Chavel
,Jules Cheret (atelier),,,P10097,,"Cheret (atelier), Jules",Jules Cheret (atelier)
,Jules Cheret,,,P10098,,"Cheret, Jules",Jules Cheret
,Victor Cicansky,,,P10099,,"Cicansky, Victor",Victor Cicansky
,Kelly Clark,,,P10100,,"Clark, Kelly",Kelly Clark
,Sheldon Cohen,,,P10101,,"Cohen, Sheldon",Sheldon Cohen
,Gerard Collins,,,P10102,,"Collins, Gerard",Gerard Collins
,Nicole Collins,,,P10103,,"Collins, Nicole",Nicole Collins
,T.E. Weir and Jeremy Cooper,,,P10104,,"Weir, T.E. and Jeremy Cooper",T.E. Weir and Jeremy Cooper
,Corneille,,,P10105,,Corneille,Corneille
,Graham Coughtry,,,P10106,,"Coughtry, Graham",Graham Coughtry
